fukuda,smartking,Test1111,企業ホームページ作成のお仕事,作業中,smartking,今回のプロジェクトについての詳細を共有していただけますか？,当方初めての依頼になります。どのように進めれば良いでしょうか？,提案と見積もりをまとめ、送付いたしました。内容をご確認いただいた後、ご質問や修正の要望があればお知らせください。,提案と見積もり確認しました。ご提案通りに進めてください。,プロジェクトが無事に完了しました。ウェブサイトの最終版を納品に進めてよろしいでしょうか。,-,-,-,-,-,-,-,-,-,-
aoi_yamamoto,cheers,Test1111,エステサイトをワードプレスで制作してください,検収完了,aoi_yamamoto,"今回のプロジェクト、よろしくお願いします。
具体的な作業内容はデザインとコーディング（レスポンシブ対応）で、ページ数は固定ページが6〜7ページ、下層ページが5〜6ページ程度となります。","作業内容了解いたしました。サーバーの用意、ワードプレスの構築などはどうなっていますか。
こちらにお任せいただいても大丈夫ですが。","サーバーの用意、ワードプレスの構築はこちらで済ませています。サイトマップも弊社で既に作成済みですので、ワードプレスへのログイン後、すぐに制作を開始いただけます。
サーバー情報・ログイン情報など提供いたします。","サーバー情報・ログイン情報ありがとうございます。作業に取り掛かります。
デザインが出来ましたら提供いたしますのでご確認ください。
",提供していただいたデザインで良いと思います。コーディングへ進めてください。,作業が完了しましたので納品します。検収をお願い致します。,-,-,-,-,-,"今回のサイト制作のプロジェクトにおいて期待した結果を得ることができませんでした。
コミュニケーションや理解に誤解が生じ望んだ成果を得ることが難しかったです。ただしcheers様の努力と尽力は認めます。
今後はより明確なコミュニケーションと共通のビジョンを築くことが重要だと思いました。",1,"aoi_yamamoto様との協力においてコミュニケーションと理解に誤解が多くプロジェクトの進行が複雑化しました。
要望や方針が不明確でaoi_yamamoto様のイメージを掴むのが難しかったです。
今後のプロジェクトにおいてはより明確な指示とイメージの共有が必要だと感じました。",1
dai_maek,blueberry,Test1111,医療機器企業のwebサイトのバナー作成依頼,検収完了,blueberry,"ご依頼ありがとうございます。
今回のプロジェクト、最後までよろしくお願いいたします。
最大2回の修正・調整は無料で対応致します。
プロジェクト完了までの予定納期：4日間を予定しております。
","こちらこそよろしくお願いします。
キャッチコピーとテキスト、画像素材、特別な要望をまとめた資料を提供いたします。
医療機器の専門的な用語は正確にお願いします。","資料のご提供ありがとうございます。
医療機器の専門的な用語についてわからない部分は質問させていただきます。
それでは作業に取り掛かります。完了までお付き合いよろしくお願い致します","途中経過を拝見しましたが専門的な用語の使い方が間違っています。
修正ポイントをまとめたものを提供いたしますのでご確認ください。","修正ポイントのご提供ありがとうございます。
専門的な用語に気をつけて修正したものを納品します。
検収をお願いします。",検収が完了しました。契約ステイタスを完了へ進めさせていただきます。,-,-,-,-,-,"今回のような専門的な用語が重要な制作のプロジェクトにおいて、正確な表現が重要でした。
Blueberry様とはコミュニケーションや理解に誤解が生じ望んだ成果を得ることが出来ませんでした。",1,"専門的な用語の使い方に誤解が多くプロジェクトの進行が複雑化しました。
dai_maek様の要望や方針が不明確で制作に反映するのが難しかったです。
今後のプロジェクトにおいてはより明確なコミュニケーションと情報の共有に注意をしたいと思います。",1
ken_kimura,aoi_yamamoto,Test1111,【wordpress使える方限定】サイト更新作業,検収完了,aoi_yamamoto,"当社へのご依頼、ありがとうございます。
サイト運営・更新作業担当スタッフの藤森でございます。
ワードプレスの記事入稿、修正の経験は深いので十分に満足いただける対応が出来ると自負しております。
よろしくお願いします。

","藤森さま、こちらこそよろしくお願いします。
まずは10記事ほど作業をしていただきます。
必要なデータをまとめた資料を提供しますのでご確認お願い致します。","資料のご提供ありがとうございます。
該当のワードプレスサイトへのアクセスも問題なく出来ました。
早速作業に取り掛かります。
","いくつかの記事がこちらで指示した修正内容と違う内容になっています。
依頼したデータを再度確認して修正をお願いします。","大変失礼いたしました。
データを確認して記事修正をやり直します。",修正していただいた記事の検収が完了しました。契約を完了させていただきます。,-,-,-,-,-,"今回担当していただいた藤森様には迅速に作業していただき、その点は評価します。
しかしながら修正点の間違いが多くそのため想定外の作業時間になってしまいました。
コミュニケーションについても残念な点が多かったと思います。",1,"木村さまの指示がちょっとわかりにくかったです。
いただいた資料にも不備が多くその確認のため時間を取られてしまいました。
今回は残念な結果になったと思います。",1
makedream,cool_noriko,Test1111,人物・動物など様々なイラスト制作致します,検収完了,makedream,"案内パンフレットに使うイラスト制作承りました。
著作権について著作権を放棄しておりません。納品したイラストを当方のサンプルとして使用する事があります。ご了承ください。
掲載不可の場合や特定の用途での使用を希望しない場合はお知らせいただければ対応させていただきます。

また、イラストの権利譲渡や商用利用料についての条件は商業規模や描画内容によって異なります。
詳細についてはお気軽にお問い合わせいただければと思います。","著作権ほか権利関係について了解いたしました。
すでにご案内のように訪日外国観光客向けのコンシェルジュ機能をもった案内パンフレットに使うイラスト制作をお願いします。
コンセプト・イメージをまとめた資料を提供いたします。ご確認ください。","コンセプト・イメージをまとめた資料提供ありがとうございます。
イメージに沿ったラフを制作いたしました。ご確認ください。","制作していただいたラフを拝見しましたがイメージに合っているとは思えませんでした。
別の方向で作り直していただけますか。",別の方向で作り直しましたが、もっと明確なイメージを明示していただけるとはっきりとした方向性が出せると思いました。,今回はこの方向性で仕上げていただいて結構です。制作完了したら納品をしてください。検収が完了したらお支払いを致します。,-,-,-,-,-,"今回のプロジェクトに対するcool_noriko様の明確なイメージがつかめませんでした。
コミュニケーションもうまく出来たとは言えない状態だったと思います。
成果物も残念な結果になったので非常に残念です。",2,"修正には応じていただきましたが最後までこちらの方向性が理解されませんでした。
makedreamさまが迅速に対応していただいた点は評価しています。
イメージの共有はとても大事だと強く実感しております。",1
appbee,aoi_yamamoto,Test1111,SNS、ホームページ、名刺などのアイコン・似顔絵を作成します,検収完了,appbee,"当方へのご依頼、感謝申し上げます。
SNSに使うアイコンの制作承りました。
イメージ、方向性を共有したいので資料をお願い致します。
","今回のアイコン作成プロジェクト、最後までお付き合いよろしくお願い致します。
アイコンのイメージ、方向性の資料を作成いたしました。
提供いたしますので、ご確認ください。","資料のご提供、ありがとうございます。
内容を検討してラフスケッチを作成しましたので提供いたします。
ご確認のうえ、くわしいご要望をお伺いします。

","ラフスケットのご提供ありがとうございます。
拝見したところ、こちらのイメージに合っていると思いました。
この方向性で進めてください。","最終的なアイコンが出来上がりました。
ご確認いただいて承認をいただけたら納品へ進めます。
よろしくお願いいたします。",-,-,-,-,-,-,"aoi_yamamotoさまのご提示されたイメージがなかなか伝わってこない印象を受けました。
しっかりとしたコンセプトを持ってプロジェクトにあたっていただけたら、もっとよい作品に仕上がったと思います。
少し残念な結果となってしまいました。",2,"appbeeさまはこちらの要望に対して迅速に対応していただきました。
作品のイメージを伝えるのに苦労しましたが概ね想定していたものが出来上がったと思います。
素敵なアイコンを作成していただき感謝いたします、ありがとうございました。",4
appbee,cool_noriko,Test1111,幅広い世代に伝わる漫画を制作します,検収完了,appbee,"わたしどもへ漫画制作のご依頼をいただきまして、感謝申し上げます。
読みやすくかつ感動的なストーリーに仕上げるために一緒にアイデアを出し合いセリフやストーリーの構成についても考えていきますのでよろしくお願い致します。

","今回の漫画制作プロジェクト、最後までお付き合いよろしくお願い致します。
制作していただく漫画のイメージ、ストーリーの方向性の資料を作成いたしました。
提供いたしますので、ご確認ください。","資料のご提供、ありがとうございます。
内容を検討してネームとラフスケッチを作成しましたので提供いたします。
絵のイメージ、ストーリーなどでお気になる点がありましたらお申し付けください。

","ネームとラフスケッチのご提供ありがとうございます。
ストーリーはこちらが希望するイメージと合っていると思いました。
この方向性で進めてください。
完成形の絵が仕上がるのが楽しみです。","彩色済みの完成品が出来上がりました。
最終的なストーリー、絵のイメージなどご確認いただいて承認をいただけたら納品へ進めます。
よろしくお願いいたします。","ストーリー、絵のイメージなどこちらが期待していたものに仕上がったと思います。
納品してください。検収が完了したらお支払いへ進めさせていただきます。",-,-,-,-,-,"cool_norikoさまのご提示されたイメージ通りのものが出来上がったと思います。
ストーリーに対してコンセプトをしっかりと持たれていたので方向性が掴みやすかったです。
ぜひ次の機会もお声を掛けてください。ありがとうございました。",3,"appbeeさまの仕事っぷりは迅速でこちらの要望にも丁寧に対応していただきました。
作品のイメージを伝える際もコミュニケーションがしっかり取れていたので、とてもやりやすかったです。
非常に面白い仕上がりの漫画になったと思います。ありがとうございました。",3
sakasita,gdink_lab,Test1111,LINEアニメーションスタンプ制作いたします,検収完了,sakasita,"gdink_labさま、LINEアニメーションスタンプ制作を承りました。ご依頼をいただきまして感謝申し上げます。
料金はご案内のようにアニメスタンプ8個40000円で承諾されたと思います。
無料の修正には、すいません、対応できませんのでご了承ください。


","sakasitaさま、今回の制作依頼よろしくお願いいたします。
料金については了解いたしました。
LINEアニメーションスタンプ制作を依頼するのは初めてなので基本的な事を教えてください。","基本的には、テキストが動く・キャラクターの顔や目が左右に動く・程度のアニメーションになります。
スタンプで使用するテキスト、イラストのイメージなどをお願いします。
参考になる画像があるとスムーズに進められます。
複雑な動きをご要望の場合は追加料金になります、ご相談ください。
","スタンプで使用するテキスト、イラストのイメージ、参考になる画像を資料にまとめましたので提供いたします。
その他必要な資料があればお申し出ください。","資料提供ありがとうございます。
いただいた資料を元に8個のアニメーションスタンプを作成しました。
完成品として承認いただいた場合、Apng形式でLINEに申請していただく事になります。
申請がNGになった場合は修正しますのでお申し付けください。","8個のアニメーションスタンプの完成品、ありがとうございます。
どれも満足のいく作品に仕上がったと思います。
LINE申請へ進めます。
「納品」としてくだされば「検収完了」へ進めますのでよろしくお願い致します。",-,-,-,-,-,"gdink_labさまのご提供された資料で方向性が明確になりました。
おかげで終始スムーズに作業が進められました。
またLINEアニメーションスタンプ制作のご要望があればぜひとも当方にお声がけください。

",3,"sakasitaさまのセンスのよさが作品に表れていると感じました。
期待を裏切らない素敵なLINEアニメーションスタンプを納品していただきました。
作業中のコミュニケーションを密に取る事が出来て最後まで気持ちよくプロジェクトを完遂する事が出来ました事を感謝いたします。
ありがとうございました。",3
blueberry,gdink_lab,Test1111,高クオリティのオリジナル名刺を作成します,作業中,blueberry,"gdink_labさま、今回は当方に名刺作成依頼をいただき御礼申し上げます。
名刺を作成される方の携わっている部署や営業における仕事内容などヒアリングさせていただきたいと思います。
よろしくお願い致します。

","blueberryさま、今回の名刺作成プロジェクト、よろしくお願い致します。
名刺を作成していただくのは弊社の広報（web対応含む）担当スタッフのものです。
クリエイティブな部署なのでインパクトのあるデザインが効果的かと思います。","広報（web対応含む）担当スタッフさまの名刺ですね、了解いたしました。
顔写真や似顔絵などを入れるとインパクトのある名刺になり相手に強い印象を与えます。 
いかがいたしましょうか？","名刺に顔写真や似顔絵などが入っているとそれを見たお客様が弊社スタッフの顔を思い出していただけると思いました。
顔写真は提供いたしますが似顔絵などはどのように作成されるのですか？","似顔絵については提供していただいたスタッフさまの顔写真を元にこちらで作成いたします。
申し訳ありませんが似顔絵作成は別途追加料金をお願いいたします。","似顔絵の追加料金、了解いたしました。
相談や契約につながる強いインパクトを与える名刺作成を期待しております。",-,-,-,-,-,-,-,-,-
sakasita,fukuda,Test1111,高品質のクオリティーで動画の編集・作成いたします,検収中,sakasita,"fukuda様、動画作成のご依頼承りました。ありがとうございます。
紹介する商品の情報、動画の方向性などヒアリングさせていただきたいと思います。
最後までよろしくお願い致します。

","sakasita様、動画制作依頼をお受けいただきまして感謝いたします。
紹介していただく商品の情報、お客様に伝えたいイメージをまとめた資料を作成しましたのでご提供します。
","商品の情報、お客様に伝えたいイメージをまとめた資料のご提供、ありがとうございます。
これを元に絵コンテを作成しまたのでご提供いたします。
動画出演は御社スタッフさまを想定しておりますがよろしいでしょうか？
ご確認ください。","絵コンテを拝見しました。こちらの伝えたいイメージに合致していると感じました。
このイメージで動画を制作してください。
想定されたように動画出演は弊社スタッフを予定しています。
撮影可能スケジュールをまとめましたのでご提供いたします。","いただいた撮影スケジュールで撮影が完了しました。
御社スタッフさまのご出演、お疲れ様でした。
編集、ナレーション入れ、BGMが完了したものを納品します。","完パケ状態の納品物の提供ありがとうございます。
弊社担当スタッフによる検収を進めていきます。
しばらくお待ちください。",-,-,-,-,-,-,-,-,-
buleline,fukuda,Test1111,アニメのCV、動画のナレーションなどお任せください,検収完了,buleline,"fukudaさま、今回のご依頼まことにありがとうございます。最後まで責任を持ってつとめさせていただきます。
担当するキャラクターが登場する動画を拝見したいと思います。
URLなどご提示いただけますか。

","buleline様、個人アカウント12万人を3ヶ月で達成ですか、TikTokerとしてすごい実績ですね。
早速ですが今回ご依頼するキャラクター登場の動画を提示いたします。
原稿もすでに出来上がっているので提供いたします。
内容をご確認ください。
","動画のご提示、原稿の提供、ありがとうございます。
今回は音源での納品でしょうか、あるいはスタジオでの収録でしょうか？","今回はスタジオ収録です。
こちらでスタジオは手配いたします。
収録時間は3時間程度を予定しております。
スケジュールをまとめた資料を提供いたしますので可能な日時をお知らせください。","スケジュールありがとうございます。
10/16　16：00〜
10/22　11：00〜
以上の日時だと対応可能です。
よろしくお願いします。","それでは
10/22　11：00〜
この日程で収録をいたします。","収録お疲れ様でした。
収録内容が問題なければ、これで納品とさせていただきますので、検収完了へ進めていただけると幸いです。",-,-,-,-,"今回fukudaさまの提示されたイメージがわかりやすかったのでキャラクターの性格、声のトーン、口調、言葉遣いなどの特徴が早い段階でつかめました。
とても楽しいスタジオ収録になりました。ありがとうございます。",4,"buleline様はすばらしい才能を持った方です。
こちらのイメージ通りのキャラクターを見事に演じていただきました。
スタジオ収録の際、何度も録り直しをさせていただきましたがすべてプロとして演じ切っていただきました。
次の機会もまたぜひよろしくお願いします。ありがとうございました。",4
takumi,cool_noriko,Test1111,オリジナル楽曲の制作承ります,検収完了,takumi,"cool_norikoさま、BGMの制作依頼ありがとうございます。
イメージに合った楽曲を提供出来るようがんばりますので最後までよろしくお願い致します。","takumiさま、今回のBGM制作よろしくお願いします。
takumiさまは歌詞付きの楽曲も作曲なさるのですね。
今回はBGMですが機会があれば歌詞付きの楽曲を依頼させていただく事もあるかもしれません。

早速ですが制作していただくBGMにイメージが近いサンプル曲をいくつか選定しております。
資料として提供いたしますので確認なさってください。","楽曲のサンプルを聞いたところ最初のご依頼のようにインパクトのある楽曲が多いですね。
外国人のお客様向けという事なのでHIPHOP系・EDM系の楽曲を意識して制作に取り掛かります。","HIPHOP系・EDM系、いいと思います。
その方向で進めてください。
takumiさまのセンスにお任せします。","ご依頼いただいた訪日外国人のお客様用の動画BGMが出来上がりました。
ご指定通りHIPHOP系・EDM系の楽曲に仕上がっています。
承認をいただけたら納品へ進めさせていただきますのでよろしくお願い致します。","制作お疲れ様でした。
納得のいく仕上がりになったと思います。
納品していただければ検収に進めます。
検収完了をもってお支払いになります。",-,-,-,-,-,"BGM楽曲制作プロジェクトの完了、お疲れ様でした。
cool_norikoさまのご満足のいく楽曲が提供出来たようでうれしいです。
制作時のコミュニケーションも非常にわかりやすくとてもスムーズにプロジェクト完了に進める事ができました。
ありがとうございました。",3,"takumiさまのセンスの良さに感銘を受けました。
とても素敵なBGMに仕上がったと思います。
今回はBGMでしたが、次の機会には歌詞付きの楽曲を依頼したいと思いました。
ありがとうございました。",4
